Open,High,Low,Close,Volume
6.66,6.69,6.5,6.6,154208600
6.57,6.66,6.44,6.45,152397000
6.43,6.78,6.32,6.78,252170800
6.72,6.97,6.71,6.93,339440500
7.02,7.03,6.83,6.87,199181500
6.82,7.01,6.8,7.01,152438300
6.96,7.02,6.87,6.93,116281900
6.95,7.11,6.9,7.04,157898300
7.04,7.04,6.84,6.84,102885300
6.92,6.97,6.69,6.72,192446800
6.81,7.16,6.76,7.11,235211200
7.07,7.18,7.02,7.1,187421500
7.13,7.41,7.11,7.4,214265100
7.44,7.69,7.42,7.64,221095700
7.45,7.56,7.36,7.55,219508800
7.51,7.61,7.42,7.44,159707800
7.4,7.45,7.3,7.39,118441400
7.41,7.56,7.41,7.42,138232500
7.49,7.56,7.28,7.55,166336100
7.6,7.67,7.57,7.6,106362200
7.6,7.65,7.52,7.59,92483300
7.6,7.79,7.59,7.69,134210300
7.8,8.03,7.79,8.02,196128800
8.1,8.13,7.93,7.96,169051400
8.06,8.08,7.95,7.97,131240200
8.0,8.05,7.87,8.02,127927800
8.0,8.24,7.96,8.21,135070600
8.26,8.39,8.23,8.28,121463300
8.35,8.58,8.33,8.56,98753200
8.73,8.77,8.53,8.6,254629900
8.64,8.68,8.31,8.41,222858300
8.45,8.5,8.34,8.37,148918700
8.51,8.85,8.49,8.84,203223300
8.92,8.98,8.73,8.97,223940500
8.88,8.95,8.83,8.87,145917800
9.13,9.24,9.05,9.14,214257400
9.16,9.19,9.03,9.13,169866200
9.04,9.16,8.96,9.15,197619800
9.16,9.21,9.05,9.18,138850600
9.24,9.3,9.2,9.25,131248600
9.24,9.32,9.16,9.26,123454100
8.95,9.05,8.67,8.89,362679100
8.97,8.99,8.81,8.91,140290500
8.91,8.93,8.77,8.78,167792800
8.78,8.96,8.77,8.81,132323800
8.84,8.94,8.78,8.9,119777000
8.96,9.09,8.95,9.07,118934200
9.12,9.2,9.09,9.14,92652700
9.16,9.17,9.05,9.05,57464400
9.14,9.28,9.13,9.16,147647500
9.19,9.23,9.05,9.08,99528800
9.11,9.11,8.82,8.82,122506300
