iter	RMSE
0	75.49478095
1	72.14843857
2	68.96692498
3	65.94222293
4	62.9265742
5	60.0485536
6	57.30919705
7	54.71518774
8	52.26646416
9	49.99032784
10	47.72946869
11	45.61606538
12	43.58407186
13	41.61697007
14	39.79736287
15	38.07680891
16	36.41789048
17	34.83560405
18	33.27566642
19	31.7996154
20	30.41221605
21	29.07722277
22	27.81858758
23	26.58824148
24	25.42557895
25	24.32862544
26	23.33442217
27	22.33003252
28	21.37517504
29	20.46510919
30	19.62676695
31	18.79556702
32	18.0044965
33	17.27254672
34	16.53533366
35	15.83256597
36	15.18574437
37	14.5682477
38	13.95296156
39	13.37293078
40	12.80556838
41	12.2908
42	11.78661778
43	11.3085708
44	10.85056715
45	10.41342517
46	10.00767597
47	9.628656899
48	9.258412517
49	8.905620864
50	8.559883556
51	8.238872741
52	7.952803278
53	7.667502484
54	7.385682353
55	7.108324079
56	6.857874054
57	6.616029558
58	6.384697567
59	6.15814121
60	5.94944748
61	5.747579566
62	5.554037725
63	5.38097383
64	5.214209239
65	5.052709361
66	4.909718351
67	4.769408753
68	4.628722359
69	4.498028218
70	4.371429014
71	4.245954377
72	4.131629001
73	4.019353063
74	3.91327111
75	3.814520373
76	3.717724931
77	3.629593563
78	3.539321237
79	3.461058263
80	3.38848472
81	3.313956431
82	3.24563226
83	3.182312889
84	3.11900412
85	3.063788978
86	3.014969478
87	2.9633992
88	2.915361684
89	2.867713954
90	2.82142069
91	2.780731568
92	2.741802251
93	2.703415932
94	2.671586149
95	2.637434715
96	2.602793474
97	2.573912719
98	2.546349981
99	2.519863488
100	2.489429619
101	2.467810737
102	2.44479753
103	2.419323234
104	2.400793108
105	2.382556907
106	2.363054244
107	2.344598154
108	2.330165862
109	2.312167464
110	2.29549908
111	2.281444764
112	2.268280499
113	2.253303561
114	2.238623168
115	2.228051053
116	2.211032188
117	2.198672719
118	2.185452544
119	2.175367088
120	2.164695274
121	2.153466276
122	2.14302133
123	2.127682786
124	2.120379502
125	2.111872793
126	2.104669726
127	2.099049511
128	2.090969539
129	2.083249651
130	2.075417911
131	2.065651699
132	2.056124049
133	2.049583063
134	2.041407418
135	2.035832507
136	2.028287298
137	2.023886895
138	2.01772643
139	2.011712763
140	2.006062653
141	1.995542225
142	1.990908094
143	1.984228586
144	1.978866468
145	1.969456086
146	1.964479508
147	1.955537649
148	1.948142203
149	1.943853376
150	1.939579023
151	1.93445701
152	1.929795084
153	1.926400318
154	1.918260036
155	1.911734121
156	1.906603936
157	1.902287661
158	1.898857706
159	1.894616127
160	1.891628534
161	1.887492542
162	1.879416984
163	1.871718069
164	1.86869099
165	1.865100089
166	1.861850667
167	1.856802166
168	1.852526634
169	1.846450549
170	1.842997207
171	1.83907531
172	1.836326345
173	1.830843338
174	1.823866027
175	1.820258689
176	1.817422345
177	1.813770489
178	1.810430075
179	1.802914955
180	1.798410583
181	1.794125363
182	1.790457606
183	1.786447789
184	1.783828856
185	1.777327943
186	1.775304457
187	1.771153714
188	1.764838039
189	1.762294761
190	1.757924673
191	1.753144194
192	1.750061683
193	1.746899994
194	1.743893598
195	1.738903346
196	1.735245905
197	1.732751134
198	1.730869227
199	1.728299494
200	1.724274017
201	1.72034593
202	1.718455569
203	1.716418589
204	1.71048793
205	1.708555869
206	1.705986318
207	1.700287236
208	1.69590469
209	1.693012707
210	1.689318181
211	1.683894833
212	1.682144031
213	1.677161668
214	1.675402726
215	1.672380221
216	1.66748403
217	1.666131529
218	1.662519353
219	1.661326564
220	1.657990804
221	1.655109629
222	1.650067885
223	1.648493137
224	1.646249516
225	1.644141264
226	1.639423816
227	1.635636729
228	1.633071801
229	1.630195561
230	1.626900761
231	1.623531157
232	1.620043485
233	1.617674223
234	1.614189323
235	1.611285033
236	1.60832275
237	1.605217733
238	1.602579195
239	1.601416582
240	1.600308634
241	1.599416648
242	1.594940249
243	1.592731279
244	1.591388298
245	1.588828203
246	1.586295824
247	1.583039342
248	1.581255562
249	1.577264399
250	1.574049973
251	1.572599081
252	1.568837963
253	1.56593721
254	1.565139429
255	1.562522712
256	1.560210555
257	1.556700033
258	1.555745028
259	1.553682581
260	1.550829973
261	1.547754622
262	1.545509979
263	1.542861714
264	1.539983683
265	1.537522034
266	1.534876653
267	1.532576054
268	1.530251679
269	1.527912224
270	1.525882292
271	1.523328823
272	1.521630448
273	1.519210718
274	1.51698972
275	1.514854634
276	1.511753746
277	1.510627558
278	1.508999892
279	1.506075673
280	1.504105301
281	1.502415092
282	1.500361441
283	1.49891574
284	1.497543518
285	1.495812161
286	1.492905665
287	1.489436883
288	1.488522249
289	1.486033131
290	1.482467399
291	1.479883715
292	1.478998439
293	1.476944632
294	1.475440453
295	1.472989454
296	1.471137429
297	1.469154221
298	1.468220904
299	1.466107392
300	1.464596703
301	1.46112953
302	1.458611634
303	1.455541722
304	1.454438016
305	1.453115999
306	1.450442496
307	1.448201353
308	1.447302318
309	1.445001008
310	1.443967965
311	1.443195758
312	1.441244692
313	1.44045544
314	1.437861532
315	1.436080972
316	1.433016836
317	1.430253725
318	1.42880699
319	1.42724907
320	1.425590107
321	1.423658244
322	1.421425919
323	1.419284562
324	1.417219429
325	1.416475295
326	1.414099298
327	1.412969446
328	1.411107939
329	1.409146325
330	1.406921185
331	1.40528059
332	1.404066199
333	1.401701387
334	1.400617912
335	1.398702419
336	1.396213068
337	1.395307293
338	1.394681407
339	1.392927037
340	1.391929158
341	1.390503246
342	1.387965366
343	1.387019908
344	1.384630654
345	1.384056364
346	1.382035108
347	1.379920394
348	1.378990662
349	1.37818013
350	1.376273419
351	1.375717266
352	1.373976897
353	1.37344383
354	1.371380356
355	1.369083487
356	1.366909709
357	1.365890972
358	1.364692033
359	1.363690212
360	1.363038057
361	1.362421588
362	1.360489172
363	1.358871104
364	1.356801641
365	1.354357301
366	1.353194153
367	1.351329444
368	1.348885167
369	1.347630668
370	1.345491781
371	1.344003387
372	1.342377686
373	1.340403095
374	1.33866494
375	1.337684691
376	1.336856063
377	1.336196745
378	1.334229696
379	1.33275328
380	1.330938907
381	1.329373378
382	1.327632866
383	1.325491913
384	1.324120848
385	1.323180619
386	1.322102255
387	1.320300806
388	1.31892466
389	1.31765652
390	1.316794577
391	1.31601306
392	1.314871348
393	1.31357682
394	1.312768022
395	1.311436194
396	1.310097996
397	1.309523514
398	1.307981141
399	1.306063405
400	1.304523483
401	1.302455668
402	1.30140333
403	1.300576107
404	1.299488933
405	1.298530148
406	1.29791245
407	1.296560821
408	1.294934807
409	1.294304007
410	1.293882008
411	1.29293031
412	1.291870155
413	1.290866745
414	1.290160501
415	1.28950655
416	1.287448815
417	1.286180886
418	1.284325611
419	1.282374588
420	1.281897749
421	1.280186409
422	1.278611721
423	1.277617796
424	1.27677745
425	1.276369878
426	1.274466089
427	1.273467656
428	1.27146078
429	1.270180911
430	1.268672408
431	1.268050842
432	1.266593378
433	1.26536885
434	1.263591106
435	1.2623251
436	1.260640338
437	1.259462607
438	1.258677719
439	1.257294862
440	1.256251382
441	1.255782691
442	1.254439365
443	1.253332481
444	1.252216795
445	1.25106633
446	1.249790881
447	1.249356811
448	1.248433034
449	1.247780351
450	1.246259777
451	1.245293721
452	1.244175872
453	1.242958865
454	1.24163059
455	1.240690389
456	1.239816808
457	1.238002641
458	1.236973321
459	1.235370332
460	1.234751407
461	1.233603335
462	1.231932892
463	1.230855939
464	1.230099641
465	1.229073944
466	1.228117134
467	1.22746304
468	1.225902425
469	1.224562599
470	1.223577363
471	1.222886933
472	1.222214481
473	1.221552766
474	1.220207518
475	1.218959895
476	1.217959002
477	1.21690779
478	1.215251189
479	1.214158697
480	1.212521268
481	1.211692874
482	1.210927981
483	1.209683826
484	1.208505354
485	1.207563546
486	1.206965745
487	1.206569368
488	1.205403738
489	1.204657672
490	1.203793062
491	1.203084877
492	1.20242381
493	1.201691658
494	1.20066474
495	1.199542153
496	1.198305718
497	1.19712008
498	1.195912382
499	1.19485759
500	1.193930985
501	1.193449358
502	1.192833401
503	1.192116034
504	1.191726444
505	1.19054634
506	1.189925874
507	1.189173977
508	1.188790106
509	1.187590742
510	1.187183835
511	1.186574079
512	1.185451483
513	1.184452414
514	1.183669444
515	1.183308418
516	1.182432299
517	1.181777972
518	1.180358302
519	1.179864218
520	1.179502339
521	1.179155745
522	1.178768637
523	1.177704724
524	1.176686949
525	1.175850024
526	1.175080474
527	1.173850426
528	1.173205968
529	1.172831627
530	1.171692914
531	1.170871422
532	1.169998031
533	1.169223883
534	1.168979582
535	1.168647966
536	1.167631164
537	1.167083316
538	1.166333841
539	1.165207887
540	1.164240214
541	1.163537402
542	1.162925476
543	1.162264256
544	1.161483686
545	1.161055468
546	1.160177451
547	1.159855303
548	1.159102077
549	1.158273517
550	1.157528997
551	1.156699723
552	1.155690953
553	1.154903793
554	1.154504696
555	1.153396
556	1.152781968
557	1.152208317
558	1.151592504
559	1.151009634
560	1.14968855
561	1.148339198
562	1.147501702
563	1.146608316
564	1.146103985
565	1.145554451
566	1.145248002
567	1.144700615
568	1.144371378
569	1.143710504
570	1.142899128
571	1.141738863
572	1.140987747
573	1.140694979
574	1.1403788
575	1.139178489
576	1.137914305
577	1.137353092
578	1.136804152
579	1.136334775
580	1.135453999
581	1.13511706
582	1.134297142
583	1.133988626
584	1.132863717
585	1.132563956
586	1.132100164
587	1.131206321
588	1.130711545
589	1.129606731
590	1.129242154
591	1.128663188
592	1.127789706
593	1.127437966
594	1.126690666
595	1.125965498
596	1.12492543
597	1.124316714
598	1.12349694
599	1.123230386
600	1.122990646
601	1.122177398
602	1.121346503
603	1.120976278
604	1.12011344
605	1.119063595
606	1.118656162
607	1.117424247
608	1.116907842
609	1.116078174
610	1.115183173
611	1.114575318
612	1.113784486
613	1.112921118
614	1.111225148
615	1.110794108
616	1.109966876
617	1.108752397
618	1.108177161
619	1.107746768
620	1.107160956
621	1.106980437
622	1.106415098
623	1.106065099
624	1.105010798
625	1.104420573
626	1.103904091
627	1.103142412
628	1.102396438
629	1.101623612
630	1.101076482
631	1.100339451
632	1.099733575
633	1.098778688
634	1.098285553
635	1.097571361
636	1.09689891
637	1.09642185
638	1.095380594
639	1.094534428
640	1.093604781
641	1.093145327
642	1.092344961
643	1.091647831
644	1.091265809
645	1.090808899
646	1.09044298
647	1.08992188
648	1.088952481
649	1.088381954
650	1.087832998
651	1.086832661
652	1.086515277
653	1.086289354
654	1.085662372
655	1.085210817
656	1.084897861
657	1.084700681
658	1.084027842
659	1.083265162
660	1.082923637
661	1.082552478
662	1.08178473
663	1.081033671
664	1.080107516
665	1.079772621
666	1.078731823
667	1.078431241
668	1.078047622
669	1.077736934
670	1.076872575
671	1.075966366
672	1.075333868
673	1.075076541
674	1.074778875
675	1.074110275
676	1.073747103
677	1.073423571
678	1.073052666
679	1.072131461
680	1.071378259
681	1.070713682
682	1.070425928
683	1.069870205
684	1.069209519
685	1.068679781
686	1.068320101
687	1.068134568
688	1.067811122
689	1.067361236
690	1.066706166
691	1.066153928
692	1.065858106
693	1.065710166
694	1.06479716
695	1.063920296
696	1.063028769
697	1.062649474
698	1.062213811
699	1.061341987
700	1.06102068
701	1.060606417
702	1.060214144
703	1.059659127
704	1.059385031
705	1.059201456
