Date,Open,High,Low,Close,Volume
2005-10-17,6.66,6.69,6.5,6.6,154208600
2005-10-18,6.57,6.66,6.44,6.45,152397000
2005-10-19,6.43,6.78,6.32,6.78,252170800
2005-10-20,6.72,6.97,6.71,6.93,339440500
2005-10-21,7.02,7.03,6.83,6.87,199181500
2005-10-24,6.82,7.01,6.8,7.01,152438300
2005-10-25,6.96,7.02,6.87,6.93,116281900
2005-10-26,6.95,7.11,6.9,7.04,157898300
2005-10-27,7.04,7.04,6.84,6.84,102885300
2005-10-28,6.92,6.97,6.69,6.72,192446800
2005-10-31,6.81,7.16,6.76,7.11,235211200
2005-11-01,7.07,7.18,7.02,7.1,187421500
2005-11-02,7.13,7.41,7.11,7.4,214265100
2005-11-03,7.44,7.69,7.42,7.64,221095700
2005-11-04,7.45,7.56,7.36,7.55,219508800
2005-11-07,7.51,7.61,7.42,7.44,159707800
2005-11-08,7.4,7.45,7.3,7.39,118441400
2005-11-09,7.41,7.56,7.41,7.42,138232500
2005-11-10,7.49,7.56,7.28,7.55,166336100
2005-11-11,7.6,7.67,7.57,7.6,106362200
2005-11-14,7.6,7.65,7.52,7.59,92483300
2005-11-15,7.6,7.79,7.59,7.69,134210300
2005-11-16,7.8,8.03,7.79,8.02,196128800
2005-11-17,8.1,8.13,7.93,7.96,169051400
2005-11-18,8.06,8.08,7.95,7.97,131240200
2005-11-21,8.0,8.05,7.87,8.02,127927800
2005-11-22,8.0,8.24,7.96,8.21,135070600
2005-11-23,8.26,8.39,8.23,8.28,121463300
2005-11-25,8.35,8.58,8.33,8.56,98753200
2005-11-28,8.73,8.77,8.53,8.6,254629900
2005-11-29,8.64,8.68,8.31,8.41,222858300
2005-11-30,8.45,8.5,8.34,8.37,148918700
2005-12-01,8.51,8.85,8.49,8.84,203223300
2005-12-02,8.92,8.98,8.73,8.97,223940500
2005-12-05,8.88,8.95,8.83,8.87,145917800
2005-12-06,9.13,9.24,9.05,9.14,214257400
2005-12-07,9.16,9.19,9.03,9.13,169866200
2005-12-08,9.04,9.16,8.96,9.15,197619800
2005-12-09,9.16,9.21,9.05,9.18,138850600
2005-12-12,9.24,9.3,9.2,9.25,131248600
2005-12-13,9.24,9.32,9.16,9.26,123454100
2005-12-14,8.95,9.05,8.67,8.89,362679100
2005-12-15,8.97,8.99,8.81,8.91,140290500
2005-12-16,8.91,8.93,8.77,8.78,167792800
2005-12-19,8.78,8.96,8.77,8.81,132323800
2005-12-20,8.84,8.94,8.78,8.9,119777000
2005-12-21,8.96,9.09,8.95,9.07,118934200
2005-12-22,9.12,9.2,9.09,9.14,92652700
2005-12-23,9.16,9.17,9.05,9.05,57464400
2005-12-27,9.14,9.28,9.13,9.16,147647500
2005-12-28,9.19,9.23,9.05,9.08,99528800
2005-12-29,9.11,9.11,8.82,8.82,122506300
2005-12-30,8.75,8.94,8.68,8.87,156065700
2006-01-03,8.94,9.23,8.92,9.23,201808600
2006-01-04,9.27,9.38,9.2,9.25,154900900
2006-01-05,9.24,9.25,9.1,9.18,112355600
2006-01-06,9.29,9.47,9.2,9.42,176114400
2006-01-09,9.47,9.53,9.35,9.39,168760200
2006-01-10,9.41,10.11,9.36,9.98,569967300
2006-01-11,10.35,10.47,10.2,10.36,373448600
2006-01-12,10.49,10.67,10.32,10.41,320202400
2006-01-13,10.49,10.62,10.44,10.57,194076400
2006-01-17,10.58,10.66,10.35,10.46,208905900
2006-01-18,10.26,10.38,10.1,10.18,300159300
2006-01-19,10.03,10.08,9.72,9.76,423962000
2006-01-20,9.79,9.88,9.36,9.39,283689700
2006-01-23,9.39,9.82,9.38,9.59,264932500
2006-01-24,9.72,9.8,9.35,9.39,285563600
2006-01-25,9.55,9.57,9.04,9.16,318946600
2006-01-26,9.2,9.31,8.88,8.93,295346800
2006-01-27,9.01,9.09,8.78,8.89,238466200
2006-01-30,8.79,9.46,8.75,9.26,349600300
2006-01-31,9.32,9.42,9.1,9.32,228385500
2006-02-01,9.25,9.44,9.21,9.31,130296600
2006-02-02,9.27,9.3,8.89,8.9,176830500
2006-02-03,8.92,8.99,8.77,8.87,173030900
2006-02-06,8.89,8.95,8.24,8.31,412941900
2006-02-07,8.43,8.58,8.23,8.35,347207700
2006-02-08,8.45,8.53,8.15,8.49,238278600
2006-02-09,8.53,8.55,7.97,8.02,287441000
2006-02-10,8.05,8.35,7.76,8.31,440119400
2006-02-13,8.23,8.24,7.98,7.99,220874500
2006-02-14,8.04,8.41,8.02,8.35,290234700
2006-02-15,8.29,8.59,8.24,8.55,289942800
2006-02-16,8.63,8.77,8.58,8.71,237043800
2006-02-17,8.68,8.75,8.59,8.68,143999800
2006-02-21,8.71,8.74,8.48,8.53,194901700
2006-02-22,8.52,8.85,8.39,8.8,244559700
2006-02-23,8.86,9.01,8.82,8.86,214229400
2006-02-24,8.91,9.0,8.79,8.82,133686000
2006-02-27,8.89,8.9,8.72,8.76,197810200
2006-02-28,8.84,8.94,8.41,8.45,316745100
2006-03-01,8.5,8.58,8.4,8.53,190954400
2006-03-02,8.52,8.64,8.48,8.59,156318400
2006-03-03,8.57,8.63,8.34,8.36,184417100
2006-03-06,8.36,8.36,8.02,8.08,228166400
2006-03-07,8.12,8.26,8.03,8.19,218219400
2006-03-08,8.18,8.3,8.07,8.11,163312800
2006-03-09,8.15,8.21,7.88,7.89,199826200
2006-03-10,7.91,7.96,7.71,7.8,260785700
2006-03-13,8.03,8.18,8.0,8.11,215296900
2006-03-14,8.12,8.31,8.09,8.31,160505100
2006-03-15,8.36,8.4,8.09,8.18,222999000
2006-03-16,8.25,8.26,7.94,7.94,187409600
2006-03-17,7.99,8.09,7.91,7.98,203010500
2006-03-20,8.05,8.08,7.88,7.9,151360300
2006-03-21,7.63,7.94,7.58,7.63,336341600
2006-03-22,7.67,7.81,7.56,7.61,336473900
2006-03-23,7.63,7.64,7.36,7.43,356956600
2006-03-24,7.44,7.52,7.29,7.4,267995000
2006-03-27,7.45,7.58,7.33,7.35,277018000
2006-03-28,7.36,7.42,7.19,7.25,342580700
2006-03-29,7.3,7.72,7.12,7.69,586708500
2006-03-30,7.76,7.81,7.6,7.75,347662700
2006-03-31,7.81,7.85,7.68,7.74,203839300
2006-04-03,7.86,7.92,7.73,7.73,203947800
